893;Patricia Vega;J6S-587;1/11/2023
834;Eva Núñez;Z1S-403;1/11/2023
404;Roberto Cruz;G2O-729;13/11/2023;Pendiente
146;Gabriel Vasquez;G5O-527;13/11/2023;Procesado
671;Victoria Mendoza;D2R-560;13/11/2023;Pendiente
714;Elena Chavez;V5Y-161;13/11/2023;Pendiente
167;Fernando Molina;M2J-668;13/11/2023;Pendiente
949;Isabel Silva;Y2O-290;13/11/2023;Pendiente
203;Silvia Vasquez;J9P-400;14/11/2023;Pendiente
573;Jorge Almeida;Z5V-152;14/11/2023;Pendiente
606;Pedro Núñez;M3T-127;14/11/2023;Pendiente
428;Carmen Calderón;Y6D-195;14/11/2023;Procesado
240;Clara Núñez;R1N-570;14/11/2023;Procesado
884;Elena Suárez;H2Z-668;14/11/2023;Pendiente
204;Roberto Medina;T1J-947;14/11/2023;Procesado
203;Pablo Almeida;P7O-615;14/11/2023;Pendiente
914;Lorena Santos;P4T-367;14/11/2023;Procesado
281;Diego Vasquez;C6I-784;14/11/2023;Pendiente
18;Ana Montes;R5W-229;14/11/2023;Procesado
962;Felipe Calderón;O4L-821;14/11/2023;Pendiente
16;Laura Alvarez;Y7K-942;14/11/2023;Pendiente
233;Raúl Pérez;Z3K-858;14/11/2023;Pendiente
684;Pablo Núñez;H7Z-565;14/11/2023;Procesado
669;Roberto Jiménez;G5W-816;14/11/2023;Procesado
949;Raúl Ibáñez;Y7I-688;14/11/2023;Pendiente
513;Marta Martínez;Z2M-697;14/11/2023;Procesado
966;Carlos Ortega;B8V-654;14/11/2023;Procesado
563;Luis Fernández;T6L-538;14/11/2023;Pendiente
326;Victoria Campos;C6R-949;14/11/2023;Pendiente
561;Paula Hernández;T6F-368;14/11/2023;Procesado
53;Elena Díaz;M9D-595;14/11/2023;Procesado
67;Teresa Rodríguez;Q8R-116;14/11/2023;Procesado
431;Marta Rodríguez;Y3H-858;14/11/2023;Pendiente
812;Teresa Pereira;T1L-284;14/11/2023;Procesado
810;Raquel Mendoza;B3V-676;14/11/2023;Pendiente
198;Felipe Ramírez;H4Z-200;14/11/2023;Pendiente
200;Mateo Santos;K7R-555;14/11/2023;Pendiente
577;Lucía Fernández;H3J-236;14/11/2023;Pendiente
827;Pedro Ramírez;D6B-508;14/11/2023;Pendiente
797;María Vargas;T9K-500;14/11/2023;Procesado
843;Andrés Flores;G2T-280;14/11/2023;Pendiente
98;Roberto Chavez;T5H-668;14/11/2023;Procesado
702;Teresa Cruz;Y3J-243;14/11/2023;Pendiente
974;Raquel Pérez;F2W-571;14/11/2023;Pendiente
708;Lorena Molina;U3W-472;14/11/2023;Pendiente
185;Andrés Figueroa;G5A-485;14/11/2023;Pendiente
430;Silvia Díaz;Y3X-759;14/11/2023;Pendiente
338;David Ortiz;P4Z-879;14/11/2023;Pendiente
59;Santiago Alvarez;J5A-482;14/11/2023;Procesado
509;Alejandra Jiménez;I6C-640;14/11/2023;Pendiente
14;Lucía Alvarez;B7O-465;14/11/2023;Procesado
83;Mateo Díaz;Q8B-400;14/11/2023;Procesado
895;Natalia Andrade;A5O-462;14/11/2023;Procesado
123;Carlos Calderón;F7V-669;14/11/2023;Procesado
845;Gabriel Figueroa;V1C-331;14/11/2023;Pendiente
803;Roberto Sánchez;U2D-441;14/11/2023;Procesado
667;Isabel Martínez;Y6H-624;14/11/2023;Procesado
141;Santiago Miranda;X2X-190;15/11/2023;Procesado
410;Pablo Gutiérrez;J3H-948;15/11/2023;Procesado
823;Lorena Miranda;E7A-874;15/11/2023;Pendiente
113;Raquel Fernández;V7B-984;15/11/2023;Procesado
165;Beatriz Rodríguez;W8X-656;15/11/2023;Procesado
22;Diego Núñez;Y1G-757;15/11/2023;Procesado
824;Luis Vargas;K3M-779;15/11/2023;Pendiente
539;Lucía Torres;B2E-326;15/11/2023;Procesado
753;Pablo Medina;F7B-239;15/11/2023;Procesado
603;Ángel Molina;U2J-269;15/11/2023;Procesado
828;Antonio Ibáñez;F4T-934;15/11/2023;Procesado
805;Beatriz Cruz;Q7L-810;15/11/2023;Procesado
240;María Castro;C7D-953;15/11/2023;Procesado
303;David Molina;Q1M-338;15/11/2023;Procesado
24;Manuel Figueroa;F1F-900;15/11/2023;Procesado
840;Raúl Silva;Z2B-662;15/11/2023;Pendiente
867;Felipe Aguilar;N9V-243;15/11/2023;Pendiente
778;Alberto Pérez;S2C-398;15/11/2023;Procesado
920;Ana Torres;B5N-191;15/11/2023;Procesado
262;Lourdes Figueroa;M5C-880;15/11/2023;Pendiente
859;Miguel Cabrera;J1J-514;15/11/2023;Pendiente
309;Andrés Vega;E2S-574;15/11/2023;Pendiente
971;Eva Machado;C8R-502;15/11/2023;Procesado
69;Laura Mendoza;B4W-214;15/11/2023;Pendiente
834;Lucía Miranda;W2G-171;15/11/2023;Procesado
893;Lorena Rivas;W3N-137;15/11/2023;Procesado
701;José Miranda;F7S-840;15/11/2023;Pendiente
472;Victoria Ibáñez;Y6I-352;15/11/2023;Procesado
929;Raquel Andrade;X2V-503;15/11/2023;Pendiente
815;Ana Vega;Z1M-436;15/11/2023;Pendiente
668;Ana Silva;Y8W-413;15/11/2023;Procesado
434;Rosa Alvarez;A9Z-254;16/11/2023;Procesado
724;Jorge Pérez;U2J-360;16/11/2023;Pendiente
717;Eva Molina;J6T-892;16/11/2023;Procesado
34;Lorena Ramírez;T5Z-817;16/11/2023;Pendiente
837;Gonzalo Silva;C5D-539;16/11/2023;Pendiente
152;Rocío Miranda;F9C-343;16/11/2023;Pendiente
545;David Jiménez;N4E-421;16/11/2023;Procesado
420;Luis Ferreira;P9T-743;16/11/2023;Procesado
25;Natalia Gutiérrez;U3V-943;16/11/2023;Pendiente
29;Pablo Cabrera;J4U-593;16/11/2023;Procesado
602;Natalia Mendoza;G5D-532;16/11/2023;Pendiente
554;Pablo Calderón;G5F-846;16/11/2023;Procesado
581;Rocío Jiménez;R8C-459;16/11/2023;Procesado
801;José Rivas;C3U-769;16/11/2023;Pendiente
504;Diego González;D7C-828;16/11/2023;Procesado
589;Laura Alvarez;K2Z-455;16/11/2023;Procesado
729;Silvia Montes;L3K-304;16/11/2023;Pendiente
553;Raúl Calderón;E6A-225;16/11/2023;Pendiente
721;Javier López;O1R-249;16/11/2023;Pendiente
809;Pedro Díaz;E2N-805;16/11/2023;Procesado
309;Elena Ramírez;D7D-283;16/11/2023;Procesado
321;Antonio Morales;D8D-221;16/11/2023;Procesado
17;Victoria Andrade;W7A-909;16/11/2023;Procesado
91;Paula Ortega;S6Y-978;16/11/2023;Procesado
917;Eva Ortega;N9O-663;16/11/2023;Pendiente
699;Antonio Aguilar;V5E-236;16/11/2023;Pendiente
987;María Aguilar;P9Q-818;16/11/2023;Pendiente
335;Sofía Andrade;N8Y-776;16/11/2023;Procesado
848;Elena Silva;Z9K-957;16/11/2023;Procesado
131;Pablo Sánchez;U8Z-145;16/11/2023;Procesado
693;Victoria Medina;W1B-926;16/11/2023;Pendiente
471;Patricia Miranda;K6W-872;16/11/2023;Procesado
434;Manuel Pereira;E1I-267;16/11/2023;Procesado
177;Lorena Morales;B4R-514;16/11/2023;Pendiente
276;Ángel González;W2N-335;16/11/2023;Procesado
920;Elena Aguilar;G2X-606;17/11/2023;Pendiente
242;Silvia Chavez;X8Q-923;17/11/2023;Procesado
202;Sofía Aguilar;U1M-161;17/11/2023;Procesado
149;Victoria Jiménez;I1G-993;17/11/2023;Procesado
718;Diego Jiménez;G9Q-763;17/11/2023;Pendiente
832;Miguel Martínez;X5M-554;17/11/2023;Pendiente
114;Natalia Castro;T2O-981;17/11/2023;Procesado
180;Felipe Romero;L9I-738;17/11/2023;Procesado
480;Victoria Castro;T2A-762;17/11/2023;Procesado
143;Patricia Vargas;Z9D-692;17/11/2023;Procesado
407;Patricia Díaz;G4L-860;17/11/2023;Pendiente
954;Patricia González;D2R-502;17/11/2023;Procesado
785;Alberto Núñez;G8Y-151;17/11/2023;Pendiente
485;María Figueroa;E4K-927;17/11/2023;Procesado
474;Luis Martínez;R3I-489;17/11/2023;Pendiente
224;Clara Campos;D4A-910;17/11/2023;Procesado
935;Alberto Miranda;M8C-712;17/11/2023;Pendiente
943;José Morales;Z3T-396;17/11/2023;Procesado
755;Lourdes Ortiz;W7D-796;17/11/2023;Procesado
861;Javier Sánchez;Y1H-190;17/11/2023;Pendiente
97;Silvia Ruiz;P7H-158;17/11/2023;Procesado
152;Natalia Castro;O1G-778;17/11/2023;Pendiente
364;Manuel Gutiérrez;Q6S-883;17/11/2023;Procesado
168;Elena Suárez;J6L-940;18/11/2023;Pendiente
651;Eva Figueroa;V9K-153;18/11/2023;Pendiente
461;Patricia Ruiz;T5Z-893;18/11/2023;Procesado
511;Gonzalo Ortega;G3O-405;18/11/2023;Pendiente
982;Felipe Pérez;X7P-231;18/11/2023;Pendiente
186;Rocío Pérez;G2O-383;18/11/2023;Procesado
984;Raquel Sánchez;W3C-115;18/11/2023;Procesado
36;Felipe Gómez;H5T-986;18/11/2023;Procesado
239;Teresa Molina;G1E-866;18/11/2023;Procesado
130;Ángel Núñez;L3U-894;18/11/2023;Procesado
255;Patricia Torres;M1D-770;18/11/2023;Pendiente
244;Alberto Aguilar;N4J-229;18/11/2023;Pendiente
631;Paula Vega;O5G-502;18/11/2023;Pendiente
197;Teresa Vasquez;W1C-609;18/11/2023;Pendiente
349;Ana Ortiz;K2Y-481;18/11/2023;Procesado
508;Ana Pereira;Z3R-541;18/11/2023;Procesado
994;Lorena Figueroa;O6Q-690;18/11/2023;Procesado
199;Ángel Díaz;K1T-700;18/11/2023;Pendiente
862;Ángel Ortiz;I6H-669;18/11/2023;Procesado
864;Alberto Flores;A9W-810;18/11/2023;Pendiente
246;Jorge Rodríguez;M7J-253;18/11/2023;Procesado
207;Jorge Ortega;M8D-469;18/11/2023;Pendiente
25;Lourdes Ruiz;W6F-777;18/11/2023;Procesado
587;Lourdes Ramírez;Y1Q-971;18/11/2023;Procesado
876;Ana González;Y2K-529;18/11/2023;Procesado
736;Diego Cruz;U2J-652;18/11/2023;Pendiente
813;Natalia Silva;U2W-353;18/11/2023;Pendiente
536;Silvia Chavez;Y1Y-421;18/11/2023;Procesado
528;María Figueroa;T3V-612;18/11/2023;Procesado
707;Carlos Núñez;C6P-322;18/11/2023;Procesado
648;Beatriz Figueroa;J4D-760;18/11/2023;Procesado
268;Felipe Silva;R6R-114;18/11/2023;Pendiente
300;Lorena Aguilar;N7D-447;18/11/2023;Procesado
657;Santiago Calderón;A7P-211;18/11/2023;Pendiente
192;Rosa Aguilar;F5F-387;18/11/2023;Pendiente
725;Santiago Cabrera;Y5U-412;18/11/2023;Procesado
552;Andrés Hernández;J3S-857;18/11/2023;Procesado
284;Rosa Flores;M8J-348;18/11/2023;Procesado
725;Silvia Hernández;N7N-556;18/11/2023;Pendiente
869;Lourdes López;R3Y-845;18/11/2023;Pendiente
672;Felipe Vasquez;D9A-947;18/11/2023;Pendiente
867;David Jiménez;D1W-289;18/11/2023;Procesado
368;Sofía Vasquez;N6S-490;18/11/2023;Procesado
233;Jorge Almeida;S6W-303;18/11/2023;Pendiente
681;Carmen Suárez;C2M-252;18/11/2023;Pendiente
86;Laura Morales;Z1F-828;18/11/2023;Pendiente
133;Isabel Calderón;G9I-131;18/11/2023;Procesado
318;Mateo Vasquez;X5V-833;18/11/2023;Pendiente
213;Alberto Gutiérrez;G8A-992;18/11/2023;Procesado
332;Roberto Jiménez;Z2B-992;18/11/2023;Procesado
353;Luis Sánchez;E2X-622;18/11/2023;Pendiente
744;Pedro Silva;U7B-435;18/11/2023;Procesado
597;Alejandra Miranda;X3R-623;18/11/2023;Pendiente
158;Lucía Cruz;Q4J-803;18/11/2023;Pendiente
160;Fernando Calderón;N1N-672;18/11/2023;Procesado
769;Carmen Ortiz;S6A-649;18/11/2023;Pendiente
612;Jorge Jiménez;J5H-132;18/11/2023;Pendiente
379;Raúl Suárez;W7E-112;18/11/2023;Pendiente
103;Gabriel Torres;N2H-708;18/11/2023;Pendiente
609;Diego Pereira;O5F-477;19/11/2023;Pendiente
112;Santiago Flores;S7O-689;19/11/2023;Pendiente
505;David Aguilar;D8L-221;19/11/2023;Pendiente
717;Lorena Alvarez;D3Q-444;19/11/2023;Procesado
878;Clara Silva;J3K-250;19/11/2023;Procesado
146;José Gutiérrez;L1H-725;19/11/2023;Pendiente
45;Javier Machado;E8E-225;19/11/2023;Procesado
765;Carmen Fernández;B7B-256;19/11/2023;Procesado
431;Carmen Ortiz;R8U-538;19/11/2023;Procesado
317;Patricia Gutiérrez;M3T-461;19/11/2023;Procesado
882;Silvia Rivas;H8A-309;19/11/2023;Pendiente
905;Natalia Silva;W3T-716;19/11/2023;Procesado
764;Rocío Morales;X3L-744;19/11/2023;Procesado
981;Eva Molina;S2O-531;19/11/2023;Procesado
311;Raquel Vega;A6F-882;19/11/2023;Pendiente
693;Roberto Sánchez;V6V-507;19/11/2023;Pendiente
568;Carlos Chavez;U8Q-602;19/11/2023;Procesado
497;Diego Santos;T6B-413;19/11/2023;Pendiente
650;Lourdes Gómez;J1Q-779;19/11/2023;Procesado
778;David Molina;C6A-346;19/11/2023;Procesado
368;Laura López;A4O-960;19/11/2023;Procesado
999;Luis Aguilar;I4E-659;19/11/2023;Procesado
847;Mateo Pérez;L8P-111;20/11/2023;Procesado
759;Patricia Molina;Q6C-973;20/11/2023;Procesado
247;Lorena Mendoza;A7K-687;20/11/2023;Procesado
673;Rocío Torres;J7N-884;20/11/2023;Pendiente
680;Laura Ferreira;R4G-977;20/11/2023;Pendiente
468;Raquel Sánchez;A4E-838;20/11/2023;Procesado
925;Pablo Jiménez;M8C-901;20/11/2023;Procesado
797;Raúl Aguilar;K9H-154;20/11/2023;Procesado
663;Pablo Gutiérrez;S8P-634;20/11/2023;Procesado
755;Laura Silva;I5Z-779;20/11/2023;Procesado
150;David Cruz;P3E-589;20/11/2023;Pendiente
934;Sofía Rodríguez;Y4Y-623;20/11/2023;Pendiente
656;Lourdes Vega;P3U-786;20/11/2023;Procesado
912;Antonio Díaz;R7V-458;20/11/2023;Pendiente
689;Pedro Morales;I5O-646;20/11/2023;Procesado
512;Teresa Gómez;Z7C-900;20/11/2023;Procesado
597;Roberto Mendoza;P2H-876;20/11/2023;Procesado
637;Felipe Gutiérrez;O8K-425;20/11/2023;Procesado
570;Diego Vega;S4E-574;20/11/2023;Pendiente
915;Raúl Gómez;O5Y-686;20/11/2023;Pendiente
607;Eva Núñez;S2P-125;20/11/2023;Pendiente
936;Gabriel Vasquez;G5J-714;20/11/2023;Pendiente
672;Eva Andrade;U9B-582;20/11/2023;Procesado
88;Pablo Andrade;U3U-128;20/11/2023;Procesado
994;Natalia Silva;K7A-604;20/11/2023;Pendiente
77;Luis Jiménez;U9G-216;20/11/2023;Pendiente
707;Sofía Díaz;Z5Z-288;20/11/2023;Pendiente
736;Diego González;F8U-710;20/11/2023;Pendiente
250;Laura Vargas;D1K-303;20/11/2023;Procesado
421;Luis Suárez;N7L-708;20/11/2023;Procesado
362;Miguel González;V9O-101;20/11/2023;Pendiente
335;Paula Jiménez;C1M-173;20/11/2023;Pendiente
602;Raquel Torres;H1W-107;20/11/2023;Pendiente
606;Marta Figueroa;J7U-850;20/11/2023;Procesado
302;María Cabrera;X3Z-829;20/11/2023;Pendiente
113;Andrés Campos;D8C-956;20/11/2023;Pendiente
738;Pedro Rivas;B6P-932;20/11/2023;Pendiente
149;Carlos Vasquez;H2I-506;20/11/2023;Pendiente
687;Gabriel Calderón;V6N-692;20/11/2023;Procesado
966;Teresa Morales;Z3I-717;20/11/2023;Pendiente
304;Gonzalo Miranda;Y5N-416;20/11/2023;Procesado
542;Ángel Torres;W4X-122;20/11/2023;Pendiente
466;Gonzalo Castro;M2K-342;20/11/2023;Pendiente
99;Luis Flores;H2F-891;20/11/2023;Pendiente
826;Isabel Núñez;V8Y-901;20/11/2023;Procesado
969;Luis Díaz;T2M-128;20/11/2023;Procesado
150;Rosa Campos;Q7T-180;20/11/2023;Procesado
227;Ana Almeida;D4T-658;20/11/2023;Pendiente
627;Jorge Ortiz;F9B-425;20/11/2023;Procesado
51;Eva Díaz;Z2F-704;20/11/2023;Pendiente
303;Elena Machado;G2N-737;20/11/2023;Pendiente
408;Natalia González;J8D-648;21/11/2023;Pendiente
526;Raquel Pérez;R9M-330;21/11/2023;Procesado
374;Javier Vargas;H8D-386;21/11/2023;Pendiente
508;Lorena Ibáñez;F9X-378;21/11/2023;Pendiente
22;Paula Vega;Q7O-915;21/11/2023;Pendiente
944;Isabel Suárez;A2W-560;21/11/2023;Pendiente
778;Beatriz Pereira;F2Q-630;21/11/2023;Procesado
494;Victoria Ferreira;D4E-838;21/11/2023;Procesado
671;Marta Suárez;Y6M-205;21/11/2023;Pendiente
439;José Cruz;J9H-832;21/11/2023;Pendiente
111;Teresa Ramírez;F1V-267;21/11/2023;Procesado
35;Antonio Cabrera;U4O-371;21/11/2023;Procesado
623;Antonio Martínez;S4D-343;21/11/2023;Pendiente
100;Luis Calderón;X1F-459;21/11/2023;Pendiente
423;Diego Hernández;N2P-140;21/11/2023;Pendiente
564;Santiago Morales;C7I-138;21/11/2023;Pendiente
240;Carmen Cabrera;O3R-817;21/11/2023;Pendiente
126;Teresa Montes;X1N-891;21/11/2023;Procesado
862;Diego Gutiérrez;P3B-417;21/11/2023;Pendiente
336;Pedro Molina;J4S-648;21/11/2023;Procesado
630;Silvia Ruiz;S8S-284;21/11/2023;Procesado
613;Rosa Morales;X1D-997;21/11/2023;Procesado
398;Lourdes Gutiérrez;P2N-189;21/11/2023;Pendiente
392;Javier Aguilar;V5U-846;21/11/2023;Procesado
279;Lorena Montes;D7S-135;21/11/2023;Procesado
200;Teresa Pérez;M7Y-941;22/11/2023;Procesado
910;Raúl Hernández;I8L-783;22/11/2023;Pendiente
856;Isabel Rodríguez;X8C-349;22/11/2023;Procesado
654;Sofía Pérez;P6F-405;22/11/2023;Pendiente
639;María Ferreira;W2I-208;22/11/2023;Pendiente
23;David Campos;I4U-737;22/11/2023;Procesado
226;Gabriel Martínez;K9J-408;22/11/2023;Pendiente
634;Javier Sánchez;J5E-926;22/11/2023;Pendiente
937;Carmen Gutiérrez;P9N-144;22/11/2023;Procesado
954;Ángel Figueroa;F5V-707;22/11/2023;Pendiente
749;Roberto Machado;N8K-879;22/11/2023;Pendiente
714;Carmen Martínez;Z4Y-822;22/11/2023;Procesado
74;Fernando Castro;D9N-515;22/11/2023;Pendiente
153;Ana Rivas;W7C-866;22/11/2023;Procesado
997;José Medina;T7Q-271;22/11/2023;Procesado
706;Raúl Díaz;G1Q-152;22/11/2023;Procesado
565;Pablo Almeida;I5Z-861;22/11/2023;Pendiente
272;Roberto Ramírez;C5P-413;22/11/2023;Pendiente
476;José Figueroa;S8O-941;22/11/2023;Procesado
218;Ana Torres;V3W-735;22/11/2023;Procesado
331;David Molina;G8K-741;22/11/2023;Pendiente
318;Gonzalo Gutiérrez;W2X-337;22/11/2023;Pendiente
239;Teresa Torres;K5R-345;22/11/2023;Procesado
643;Paula Vega;V7Z-767;23/11/2023;Procesado
124;Ana Campos;T1A-424;23/11/2023;Procesado
504;Natalia Torres;Z9S-132;23/11/2023;Pendiente
865;Gonzalo Vargas;S7O-624;23/11/2023;Pendiente
558;Gonzalo Ortega;I2K-132;23/11/2023;Procesado
654;Rosa Santos;P4E-154;23/11/2023;Procesado
983;Pedro Ortiz;X2M-763;23/11/2023;Pendiente
506;María Vargas;P4K-963;23/11/2023;Pendiente
951;Ana Sánchez;D7E-571;23/11/2023;Procesado
238;Jorge Andrade;R8J-119;23/11/2023;Pendiente
513;Ángel Ruiz;T6A-134;23/11/2023;Pendiente
827;Pablo Castro;N3B-924;23/11/2023;Pendiente
575;Luis Torres;G2U-770;23/11/2023;Pendiente
407;Diego Morales;Q4N-537;23/11/2023;Procesado
696;Carmen López;L1C-150;23/11/2023;Pendiente
74;Luis Mendoza;Q1S-661;23/11/2023;Pendiente
280;Juan Vega;U9V-318;23/11/2023;Procesado
295;Patricia Morales;G2K-998;23/11/2023;Procesado
609;Roberto Ruiz;L7Y-291;23/11/2023;Procesado
467;Clara Montes;B8V-922;23/11/2023;Pendiente
997;Lourdes Ferreira;K8D-462;23/11/2023;Procesado
758;Beatriz Rodríguez;B4M-450;23/11/2023;Procesado
203;Javier Díaz;V1C-285;23/11/2023;Pendiente
422;Isabel Fernández;B4E-816;23/11/2023;Pendiente
674;Ana Medina;T2P-279;23/11/2023;Procesado
930;Beatriz Vasquez;X8F-392;23/11/2023;Procesado
255;Victoria Mendoza;M8T-213;23/11/2023;Pendiente
6;Andrés Chavez;S3M-822;23/11/2023;Procesado
648;Ana Rojas;Y7C-347;23/11/2023;Procesado
234;Eva Ramírez;I5O-790;23/11/2023;Pendiente
492;Luis Gutiérrez;H9I-474;23/11/2023;Pendiente
735;Pedro Sánchez;F7C-936;23/11/2023;Procesado
125;Sofía Ramírez;R2O-895;24/11/2023;Pendiente
742;Mateo Díaz;T7A-407;24/11/2023;Pendiente
658;Isabel Calderón;C7N-877;24/11/2023;Pendiente
807;Javier Núñez;J9F-951;24/11/2023;Procesado
160;Lourdes Sánchez;K8P-613;24/11/2023;Procesado
285;David Morales;H5L-392;24/11/2023;Pendiente
507;Lucía Núñez;R5G-441;24/11/2023;Pendiente
140;Elena Ortega;E1G-624;24/11/2023;Procesado
328;Luis Ibáñez;M6Q-398;24/11/2023;Pendiente
219;Antonio Cabrera;I7N-348;24/11/2023;Procesado
448;Clara Torres;T4H-535;24/11/2023;Pendiente
425;Mateo Medina;E9N-391;24/11/2023;Pendiente
179;Lourdes Vasquez;C4I-175;24/11/2023;Procesado
935;Gonzalo Pereira;X1B-591;24/11/2023;Procesado
981;Laura Rojas;K7Y-220;24/11/2023;Pendiente
293;Luis Gutiérrez;G6J-885;24/11/2023;Procesado
143;Alejandra Pérez;L9M-673;24/11/2023;Procesado
649;Patricia Vasquez;F7F-134;24/11/2023;Pendiente
845;Lucía Gutiérrez;G8L-985;24/11/2023;Pendiente
828;Pablo Gómez;U9Y-586;24/11/2023;Procesado
344;Ana Torres;V1U-246;24/11/2023;Procesado
634;Fernando Núñez;N8C-214;24/11/2023;Pendiente
964;Eva Rojas;X4B-364;24/11/2023;Procesado
408;Roberto Rivas;H3H-605;24/11/2023;Pendiente
375;Patricia Chavez;I7V-285;24/11/2023;Procesado
408;Eva Silva;H2K-972;24/11/2023;Pendiente
715;Raquel Vega;X1G-250;24/11/2023;Procesado
179;Lorena Ramírez;I3Y-551;24/11/2023;Pendiente
868;Gonzalo Ruiz;F1Q-396;24/11/2023;Procesado
979;Clara Pereira;F8Y-340;24/11/2023;Pendiente
770;Isabel Miranda;P2Z-724;24/11/2023;Procesado
665;Raquel Vasquez;Y6Z-477;24/11/2023;Procesado
566;David Gómez;K9U-106;25/11/2023;Pendiente
7;Teresa Torres;G4Z-199;25/11/2023;Pendiente
512;Mateo Cabrera;D2Z-206;25/11/2023;Procesado
53;Andrés Jiménez;M3E-907;25/11/2023;Pendiente
956;Eva Castro;M7A-107;25/11/2023;Pendiente
570;Clara López;X9N-629;25/11/2023;Procesado
666;Marta Medina;P9S-397;25/11/2023;Pendiente
317;Ángel Cabrera;J9E-688;25/11/2023;Pendiente
326;Roberto Jiménez;Y2C-143;25/11/2023;Pendiente
276;Ángel Castro;X1H-433;25/11/2023;Pendiente
100;Laura Montes;F9Q-600;25/11/2023;Procesado
209;Eva Morales;P6A-975;25/11/2023;Pendiente
558;Ángel González;O6U-518;25/11/2023;Pendiente
434;Lourdes Cabrera;R1X-148;25/11/2023;Pendiente
374;Luis Sánchez;Y6S-241;25/11/2023;Pendiente
131;Javier Martínez;A5I-715;25/11/2023;Procesado
972;Elena Ortega;V4J-634;25/11/2023;Pendiente
511;Santiago Ramírez;D1I-448;25/11/2023;Procesado
757;Gonzalo López;V8D-487;25/11/2023;Pendiente
844;Paula Ramírez;N2V-929;25/11/2023;Procesado
833;María Hernández;K1A-681;25/11/2023;Procesado
658;Raúl Pereira;G8Z-618;25/11/2023;Procesado
735;Gabriel Hernández;N9U-442;25/11/2023;Pendiente
733;Roberto Ferreira;L2Z-124;25/11/2023;Procesado
680;Raquel Díaz;D4V-780;25/11/2023;Pendiente
902;Carlos Pérez;Q2O-993;25/11/2023;Procesado
213;Victoria Gómez;X9Q-135;25/11/2023;Pendiente
685;Roberto Molina;B9D-702;25/11/2023;Procesado
244;Lucía Santos;O2B-947;25/11/2023;Pendiente
105;Raúl Gómez;G8H-567;25/11/2023;Pendiente
947;Roberto Silva;B4X-373;25/11/2023;Procesado
256;Raquel Ramírez;A4O-580;25/11/2023;Pendiente
84;Felipe Romero;N6K-666;25/11/2023;Pendiente
198;Fernando Sánchez;G3S-952;25/11/2023;Procesado
19;Pedro Gutiérrez;G8S-935;25/11/2023;Procesado
50;Isabel Martínez;D5T-161;25/11/2023;Pendiente
779;Marta Figueroa;L7N-594;25/11/2023;Procesado
948;Diego Andrade;H5G-281;25/11/2023;Procesado
627;Raquel Molina;E7U-989;25/11/2023;Procesado
660;Paula Figueroa;E3N-232;25/11/2023;Pendiente
628;Santiago Rodríguez;Y7K-447;25/11/2023;Procesado
92;Rosa Cruz;P4W-984;25/11/2023;Procesado
260;Patricia Pérez;K7K-227;25/11/2023;Pendiente
501;Manuel Figueroa;U9P-585;25/11/2023;Pendiente
713;Raquel Vargas;A3U-440;25/11/2023;Pendiente
210;Gonzalo Gómez;L2L-587;25/11/2023;Pendiente
561;Gonzalo Castro;W2Y-670;25/11/2023;Pendiente
626;David Gómez;X1D-673;25/11/2023;Pendiente
38;Mateo Figueroa;O7S-150;25/11/2023;Procesado
1;Laura Torres;C1E-987;25/11/2023;Procesado
80;Elena Romero;I8E-449;25/11/2023;Procesado
517;David Ferreira;E2J-416;25/11/2023;Procesado
824;Patricia Vega;R3V-877;25/11/2023;Pendiente
681;Teresa Vargas;D3A-305;26/11/2023;Pendiente
558;Patricia Morales;O9H-910;26/11/2023;Procesado
581;Ana Medina;E2M-810;26/11/2023;Procesado
322;Lorena Hernández;Z8L-211;26/11/2023;Procesado
925;Juan Núñez;I4S-884;26/11/2023;Pendiente
50;Sofía Martínez;E9I-504;26/11/2023;Procesado
853;Alberto Pérez;P3Q-296;26/11/2023;Procesado
628;Pedro Cruz;M1Y-923;26/11/2023;Pendiente
332;Elena Andrade;U8V-952;26/11/2023;Procesado
514;Marta González;H7W-521;26/11/2023;Procesado
844;Lucía Jiménez;C3Y-974;26/11/2023;Pendiente
5;Alberto Núñez;T7R-268;26/11/2023;Pendiente
711;Alberto Pérez;Y5O-255;26/11/2023;Pendiente
889;Silvia Castro;C4U-105;26/11/2023;Pendiente
82;María Alvarez;X1U-194;26/11/2023;Procesado
692;Mateo López;M7T-261;26/11/2023;Pendiente
55;Pedro Cruz;J8H-981;26/11/2023;Procesado
47;Marta Cruz;I6C-450;26/11/2023;Pendiente
680;Felipe Ferreira;Q1A-536;26/11/2023;Procesado
442;Gabriel Gómez;J4D-767;26/11/2023;Pendiente
927;Eva Pérez;B4X-380;26/11/2023;Procesado
712;Ángel Gómez;N6T-260;26/11/2023;Pendiente
646;Santiago Ferreira;Z7C-748;27/11/2023;Procesado
208;Victoria Díaz;R2J-557;27/11/2023;Pendiente
920;Victoria Ruiz;I9E-891;27/11/2023;Procesado
22;José Fernández;J6M-441;27/11/2023;Procesado
437;Patricia Hernández;S8Z-619;27/11/2023;Pendiente
744;Paula Molina;J4Z-119;27/11/2023;Procesado
196;Lourdes Figueroa;Z6B-806;27/11/2023;Pendiente
911;Gabriel Alvarez;D9E-690;27/11/2023;Procesado
455;Carmen Rivas;T1D-274;27/11/2023;Pendiente
